Personnage;Relation;Personnage lié;id;Acteur lié;Episodes
Joey;Collègue;Mr Simon et Al Zebooker;162;E. J. Callahan;['404', '1015', '715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Ami;Lowell;163;Kyle Gass;['915', '314', '103', '1002', '1002', '903']
Monica;Petit%20Ami;Paul, le sommelier;164;John Allen Nelson;['101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Roy Gublik;165;Michael Ray Bower;['214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Chandler;Petit%20Ami;Aurora;166;Sofia Milos;['106', '1011', '314', '116', '420', '706', '120', '205', '618']
Joey;Famille;Dina Tribbiani;167;Marla Sokoloff;['810', '311', '311', '311', '519', '113', '311', '311', '113', '311']
Ross;Petit%20Ami;Whitney;168;Julia Campbell;['705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Joey;Collègue;Fredrick;169;George Stults;['715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Ross;Petit%20Ami;Katie;170;Rena Sofer;['821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Rachel;Ami;Mindy Hunter-Farber;171;Marie Hupp;['224', '306', '104', '104', '820']
Phoebe;Petit%20Ami;Kyle;172;David Sutcliffe;['705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Chandler;Petit%20Ami;Missy Goldberg;173;Ellen Pompeo;['1011', '314', '116', '420', '706', '120', '205', '618']
Monica;Collègue;Franny;174;Clea Lewis;['101', '719', '410', '312', '409', '103']
Phoebe;Collègue;Arthur;175;Larry Cox;['616', '616', '510', '404', '921', '713']
Rachel;Petit%20Ami;Josh;176;Brian Fish Smith;['405', '207', '502', '124']
Phoebe;Collègue;Jack;177;Paul Gleason;['616', '510', '404', '921', '713']
Ross;Petit%20Ami;Amanda;178;Laura Stepp;['405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Chandler;Petit%20Ami;Nina Bookbinder;179;Jennifer Grant;['116', '420', '706', '120', '205', '618']
Joey;Petit%20Ami;Strip-teaseuse;180;Lisa Rotondi;['422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Chandler;Petit%20Ami;Marjorie;181;Christina Moore;['420', '706', '120', '205', '618']
Joey;Famille;Gina Tribbiani;182;K. J. Steinberg;['311', '311', '311', '519', '113', '311', '311', '113', '311']
Ross;Collègue;Cailin;183;Laura Cayouette;['322', '1006', '604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Joey;Famille;Dina Tribbiani;184;Lisa Melili;['311', '311', '519', '113', '311', '311', '113', '311']
Joey;Petit%20Ami;Colocataire d’Hayley;185;Nikita Ager;['904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Phoebe;Ami;Leslie;186;E. G. Daily;['314', '103', '1002', '1002', '903']
Joey;Petit%20Ami;Angela;187;Kim Gillingham;['105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Annabel;188;Emily Procter;['202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Hayley;189;Susan Ward;['904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Rachel;Collègue;Melissa;190;Caroline Keenan;['705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Ross;Petit%20Ami;Elizabeth Hornswaggle;191;Sara Rose Peterson;['511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Joey;Petit%20Ami;Sandy;192;Sarah McDonnel;['110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Phoebe;Petit%20Ami;Sergeï;193;Jim Pirri;['315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Don;194;Harry Van Gorkum;['816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Monica;Petit%20Ami;Julio;195;Carlos Gomez;['312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Stuart;196;Joe Coyle;['711', '402', '103', '315', '122', '105']
Joey;Famille;Cookie Tribbiani;197;Alex Meneses;['311', '519', '113', '311', '311', '113', '311']
Joey;Collègue;Alex;198;Ian Meltzer;['604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Famille;Frances;199;Audra Lindley;['209', '1002', '1002', '1002']
Phoebe;Petit%20Ami;Robert;200;Markus Flanagan;['313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Ross;Petit%20Ami;Kristen;201;Heather Medway;['114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Phoebe;Petit%20Ami;Jason;202;Robert Gant;['323', '323', '817', '113', '223', '805', '507', '715', '404']
Ross;Collègue;Kurt Rathman;203;Rick Fitts;['604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Joey;Collègue;Wayne;204;Andrew Bilgore;['621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Ross;Petit%20Ami;Femme de Poughkeepsie;205;Yasemin Baytok;['410', '913', '707', '1011', '115', '608', '804', '1009']
Joey;Collègue;Producteur de séries télévisées;206;Brad Koepenick;['621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Petit%20Ami;Vince;207;Matt Battaglia;['323', '817', '113', '223', '805', '507', '715', '404']
Joey;Collègue;Réalisateur de Days Of Our Lives;208;Evan Handler;['911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Rachel;Petit%20Ami;Michael;209;Arye Gross;['207', '502', '124']
Ross;Petit%20Ami;Michelle;210;Jennifer Aspen;['913', '707', '1011', '115', '608', '804', '1009']
Phoebe;Petit%20Ami;Jim Nelson;211;James Le Gros;['817', '113', '223', '805', '507', '715', '404']
Joey;Collègue;Kash Ford;212;Johnny Messner;['805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Petit%20Ami;Shelley;213;Sasha Alexander;['819', '509', '812', '124', '114', '1007', '1009', '407']
Joey;Petit%20Ami;Cynthia;214;Jennette Robbins;['509', '812', '124', '114', '1007', '1009', '407']
Monica;Collègue;Comptable de Monica;215;Cindy Lu;['719', '410', '312', '409', '103']
Chandler;Famille;Chandler enfant;216;Joshua Preston;['508']
Joey;Collègue;Kyle Lowder;218;Kyle Lowder;['920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Petit%20Ami;Mabel;219;Krista Allen;['812', '124', '114', '1007', '1009', '407']
Joey;Collègue;Acteur dans Days Of Our Lives;220;Paul Logan;['911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Chandler;Petit%20Ami;Julie Graff;221;Stacy Galina;['706', '120', '205', '618']
