Personnage;Relation;Personnage lié;id;Acteur lié;Episodes
Monica;Petit%20Ami;Richard Burke;7;Tom Selleck;['215', '216', '218', '220', '223', '224', '313', '624', '625', '318', '319', '321', '322', '323', '324', '110', '210', '615', '616', '101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Chandler;Famille;Nora Tyler Bing;8;Morgan Fairchild;['111', '508', '723', '724', '801', '722', '723', '724', '1017', '1018', '1017', '1018', '508']
Joey;Petit%20Ami;Janine Lecroix;9;Elle Mac Pherson;['607', '608', '609', '610', '611', '319', '320', '322', '320', '322', '212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Chandler;Famille;Charles « Helena » Bing;10;Kathleen Turner;['722', '723', '724', '1017', '1018', '1017', '1018', '508']
Rachel;Petit%20Ami;Paul Stevens;11;Bruce Willis;['621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Famille;Amy Green;12;Christina  Applegate;['908', '1005', '613', '614']
Rachel;Famille;Jill Green;13;Reese Witherspoon;['613', '614']
Joey;Collègue;Richard Crosby;14;Gary Oldman;['723', '724', '723', '724', '723', '724', '404', '1015', '715', '915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Petit%20Ami;Eric;16;Sean Penn;['806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Parker;17;Alec Baldwin;['817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Rachel;Ami;Melissa Warburton;20;Winona Ryder;['720', '224', '306', '104', '104', '820']
Rachel;Petit%20Ami;Jean-Claude Van Damme;21;Jean-Claude Van Damme;['213', '322', '405', '207', '502', '124']
Chandler;Petit%20Ami;Susie Moss;22;Julia Roberts;['213', '106', '1011', '314', '116', '420', '706', '120', '205', '618']
Joey;Petit%20Ami;Erica Ford;25;Brooke Shield;['212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Monica;Petit%20Ami;Dr Mitchell;26;George Clooney;['117', '408', '312', '711', '402', '103', '315', '122', '105']
Phoebe;Petit%20Ami;Rob Donan;27;Chris Isaak;['212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Ross;Famille;Cassie;28;Denise Richards;['719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Cassie;28;Denise Richards;['719', '118', '304', '711', '108', '711', '818', '818']
Joey;Petit%20Ami;Cecilia Monroe;30;Suzan Sarandon;['715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Rachel;Petit%20Ami;Tommy;31;Ben Stiller;['322', '405', '207', '502', '124']
Joey;Ami;Mackenzie;32;Dakota Fanning;['1014', '423']
Joey;Collègue;Leonard Haze;33;Jeff Goldblum;['915', '604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Petit%20Ami;Malcolm;34;David Arquette;['303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Ryan;37;Charlie Sheen;['223', '805', '507', '715', '404']
Joey;Ami;Sarah Ferguson;44;Sarah Ferguson;['423']
Rachel;Collègue;Ralph Lauren;47;Ralph Lauren;['608', '409', '518', '912', '624']
Ross;Famille;Emma Geller;52;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015', '102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Emma Geller;52;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015', '102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Jack Geller;53;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Jack Geller;53;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Judy Geller;54;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Judy Geller;54;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Chandler;Petit%20Ami;Janice Littman Guralnick;55;Maggie Wheeler;['105', '110', '114', '203', '224', '301', '303', '304', '306', '307', '308', '415', '512', '707', '823', '824', '921', '1015', '405', '406', '407', '408', '411', '413', '213', '106', '1011', '314', '116', '420', '706', '120', '205', '618']
Phoebe;Petit%20Ami;Mike Hanigan;56;Paul Rudd;['903', '904', '906', '907', '909', '912', '913', '916', '917', '923', '924', '1001', '1005', '1007', '1012', '1014', '1017', '110', '711', '906', '922', '923', '516', '517', '520', '521', '806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Ross;Famille;Ben Geller;57;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Ben Geller;57;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Petit%20Ami;Carol Willick;58;Jane Sibbett;['109', '112', '114', '116', '123', '202', '211', '220', '304', '317', '418', '518', '615', '616', '716', '414', '415', '416', '417', '418', '419', '421', '423', '424', '501', '504', '506', '520', '920', '921', '922', '923', '924', '1001', '1002', '1005', '1006', '801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Emily Waltham;59;Helen Baxendale;['414', '415', '416', '417', '418', '419', '421', '423', '424', '501', '504', '506', '520', '920', '921', '922', '923', '924', '1001', '1002', '1005', '1006', '801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Joey;Ami;Dick;61;non crédité;['321', '322', '323', '402', '414', '422', '503', '508', '512', '519', '620', '321', '323', '402', '408', '414', '503', '511', '512', '620', '1014', '423']
Joey;Collègue;Dirk;61;Ethan Erickson;['920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Phoebe;Famille;Frank Jr Buffay;64;Giovanni Ribisi;['206', '221', '305', '318', '411', '412', '417', '503', '1002', '116', '117', '303', '401', '513', '614', '714', '806', '318', '411', '412', '417', '418', '503', '325', '401', '411', '513', '209', '1002', '1002', '1002']
Ross;Petit%20Ami;Professeur Charlie Wheeler;65;Aisha Tyler;['920', '921', '922', '923', '924', '1001', '1002', '1005', '1006', '801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Joey;Ami;Yasmine;66;non crédité;['321', '323', '402', '408', '414', '503', '511', '512', '620', '1014', '423']
Phoebe;Famille;Ursula Buffay;67;Lisa Kudrow;['116', '117', '303', '401', '513', '614', '714', '806', '318', '411', '412', '417', '418', '503', '325', '401', '411', '513', '209', '1002', '1002', '1002']
Rachel;Petit%20Ami;Tag Jones;68;Eddie Cahill;['704', '705', '708', '709', '712', '714', '802', '102', '119', '120', '224', '616', '413', '414', '416', '418', '420', '107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Ross;Petit%20Ami;Mona;69;Bonnie Somerville;['801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Julie;70;Lauren Tom;['124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Chandler;Petit%20Ami;Kathy;71;Paget Brewster;['405', '406', '407', '408', '411', '413', '213', '106', '1011', '314', '116', '420', '706', '120', '205', '618']
Monica;Petit%20Ami;Pete Becker;72;Jon Favreau;['318', '319', '321', '322', '323', '324', '110', '210', '615', '616', '101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Phoebe;Famille;Alice Knight ep. Buffay;73;Debra Jo Rupp;['318', '411', '412', '417', '418', '503', '325', '401', '411', '513', '209', '1002', '1002', '1002']
Rachel;Collègue;Mark;74;Steven Eckholdt;['311', '312', '314', '315', '319', '1014', '315', '320', '403', '409', '320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Phoebe;Petit%20Ami;David;75;Hank Azaria;['110', '711', '906', '922', '923', '516', '517', '520', '521', '806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Ross;Petit%20Ami;Elizabeth Stevens;76;Alexandra Holden;['618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Rachel;Petit%20Ami;Barry Farber;77;Mitchell Whitfield;['102', '119', '120', '224', '616', '413', '414', '416', '418', '420', '107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Joshua Bergen;78;Tate Donovan;['413', '414', '416', '418', '420', '107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Monica;Voisin;Mr Treeger;80;Michael G. Hagerty;['203', '209', '404', '417', '803', '709', '811', '709', '709']
Rachel;Petit%20Ami;Paolo;81;Cosimo Fusco;['107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Collègue;Mr Zelner;83;Steve Ireland;['517', '709', '817', '911', '1014', '1015', '311', '312', '314', '315', '319', '1014', '315', '320', '403', '409', '320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Phoebe;Petit%20Ami;Gary;85;Michael Rapaport;['516', '517', '520', '521', '806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Rachel;Famille;Dr Leonard Green;86;Ron Leibman;['222', '307', '808', '1013', '211', '222', '820', '908', '1005', '613', '614']
Phoebe;Collègue;Jasmine;87;Cynthia Mann;['101', '112', '305', '316', '616', '820', '616', '616', '510', '404', '921', '713']
Rachel;Collègue;Sophie;88;Laura Dean;['315', '320', '403', '409', '320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Phoebe;Famille;Phoebe Abbott;89;Teri Garr;['325', '401', '411', '513', '209', '1002', '1002', '1002']
Rachel;Collègue;Joanna;90;Alison LaPlaca;['320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Chandler;Ami;Eddie Minowick;91;Adam Goldberg;['217', '218', '219']
Ross;Petit%20Ami;Bonnie;92;Christine Taylor;['324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Joey;Petit%20Ami;Kate Miller;93;Dina Meyer;['319', '320', '322', '320', '322', '212', '424', '715', '515', '422', '904', '105', '707', '202', '904', '110', '819', '509', '812', '124', '114', '1007', '1009', '407']
Rachel;Famille;Sandra Green;94;Marlo Thomas;['211', '222', '820', '908', '1005', '613', '614']
Rachel;Petit%20Ami;Danny, le yeti;95;George Newbern;['506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
