Personnage;Relation;Personnage lié;id_personnage;Acteur lié;Episodes;id_relation;id_personnage_1;
Joey;Collègue;Wayne;204;Andrew Bilgore;['621'];5;4;
Ross;Petit%20Ami;Femme de Poughkeepsie;205;Yasemin Baytok;['410'];1;6;
Joey;Collègue;Producteur de séries télévisées;206;Brad Koepenick;['621'];5;4;
Phoebe;Petit%20Ami;Vince;207;Matt Battaglia;['323'];1;3;
Joey;Collègue;Réalisateur de Days Of Our Lives;208;Evan Handler;['911'];5;4;
Rachel;Petit%20Ami;Michael;209;Arye Gross;['207'];1;1;
Ross;Petit%20Ami;Michelle;210;Jennifer Aspen;['913'];1;6;
Phoebe;Petit%20Ami;Jim Nelson;211;James Le Gros;['817'];1;3;
Joey;Collègue;Kash Ford;212;Johnny Messner;['805'];5;4;
Joey;Petit%20Ami;Shelley;213;Sasha Alexander;['819'];1;4;
Joey;Petit%20Ami;Cynthia;214;Jennette Robbins;['509'];1;4;
Monica;Collègue;Comptable de Monica;215;Cindy Lu;['719'];5;2;
Chandler;Famille;Chandler enfant;216;Joshua Preston;['508'];2;5;
Joey;Collègue;Dirk;217;Ethan Erickson;['920'];5;4;
Joey;Collègue;Kyle Lowder;218;Kyle Lowder;['920'];5;4;
Joey;Petit%20Ami;Mabel;219;Krista Allen;['812'];1;4;
Joey;Collègue;Acteur dans Days Of Our Lives;220;Paul Logan;['911'];5;4;
Chandler;Petit%20Ami;Julie Graff;221;Stacy Galina;['706'];1;5;
Joey;Collègue;Striker Ramorey;222;Eric Rutherford;['402'];5;4;
Monica;Petit%20Ami;Chip Matthews;223;Dan Gauthier;['704'];1;2;
Joey;Collègue;Matthew Ashford;224;Matthew Ashford;['920'];5;4;
Phoebe;Petit%20Ami;Roger;225;Fisher Stevens;['113'];1;3;
Rachel;Ami;Betsy;226;Marissa Ribisi;['306'];3;1;
Joey;Collègue;Bob;227;Warren Berliner;['216'];5;4;
Monica;Collègue;Employé de cuisine;228;Amy Smallman;['410'];5;2;
Joey;Collègue;El Hombre;229;Joel beeson;['202'];5;4;
Joey;Collègue;Actrice dans Days of our Lives;230;Karma Kruschke;['212'];5;4;
Ross;Collègue;Professeur Spafford;231;Ken Lerner;['920'];5;6;
Chandler;Collègue;Drew;232;Michael DiMaggio;['410'];5;5;
Phoebe;Petit%20Ami;Tim;233;Kevin Rahm;['805'];1;3;
Chandler;Collègue;Mike;234;Jamie Kaler;['410'];5;5;
Monica;Collègue;Jeannine;235;Wendy Schall;['312'];5;2;
Joey;Petit%20Ami;Melanie;236;Corinne Bohrer;['124'];1;4;
Joey;Collègue;Hope Brady;237;Kristian Alfonso;['615'];5;4;
Joey;Famille;Nonnie Tribbiani;238;Lilyan Chauvin;['519'];2;4;
Rachel;Petit%20Ami;Dave;239;Zen Gesner;['502'];1;1;
Ross;Petit%20Ami;Petite amie scientifique de Ross;240;Sarah O’Hare;['707'];1;6;
Joey;Collègue;Infirmière, actrice de Days Of Our Lives;241;Cynthia Graham;['704'];5;4;
Joey;Collègue;Infirmière, actrice de Days Of Our Lives;242;Renee Louise Roger;['704'];5;4;
Joey;Collègue;Dr Wesley;243;Kevin Spirtas;['615'];5;4;
Ross;Petit%20Ami;Adrienne Turner;244;Kimberley Davies;['1011'];1;6;
Ross;Famille;Ross enfant;245;Edo Azram;['304'];2;6;
Monica;Famille;Ross enfant;245;Edo Azram;['304'];2;2;
Monica;Petit%20Ami;Alan;246;Goeffrey Lower;['103'];1;2;
Monica;Petit%20Ami;Misha;247;Stephen Kearny;['315'];1;2;
Chandler;Collègue;Jordan;248;Teck Holmes;['915'];5;5;
Rachel;Collègue;Kathy;249;Cody Tucher;['704'];5;1;
Joey;Collègue;Chase Lassiter;250;Blake Reed;['919'];5;4;
Joey;Famille;Joey Tribbiani Sr;252;Robert Costanzo;['113'];2;4;
Ross;Famille;Frannie;253;Robyn Donny;['711'];2;6;
Monica;Famille;Frannie;253;Robyn Donny;['711'];2;2;
Ross;Petit%20Ami;Celia;255;Melora Hardin;['115'];1;6;
Rachel;Collègue;Nancy;256;Hilary Matthews;['312'];5;1;
Joey;Petit%20Ami;Lorraine;257;Nancy Valen;['114'];1;4;
Monica;Petit%20Ami;Ethan;258;Stan Kirsch;['122'];1;2;
Phoebe;Petit%20Ami;Larry;260;Gregory Sporleder;['704'];1;3;
Phoebe;Petit%20Ami;Tom;262;Jack Belts;['715'];1;3;
Joey;Famille;Mary-Theresa Tribbiani;263;Mimi Leiber;['311'];2;4;
Monica;Petit%20Ami;Bob;265;Jack Armstrong;['105'];1;2;
Rachel;Petit%20Ami;Carl;266;Tommy Blaise;['124'];1;1;
Phoebe;Ami;Lizzy;267;Beth Grant;['103'];3;3;
Rachel;Collègue;Mme Lynch;268;Jennifer Rhodes;['409'];5;1;
Chandler;Petit%20Ami;Danielle;269;Lynn Clark;['120'];1;5;
Ross;Famille;Lilian;270;Elinor Donahue;['108'];2;6;
Monica;Famille;Lilian;270;Elinor Donahue;['108'];2;2;
Rachel;Collègue;Employé de Ralph Lauren;272;Alex Ball;['1014'];5;1;
Ross;Petit%20Ami;Hillary;274;Missy Pyle;['608'];1;6;
Joey;Famille;Nonna;275;Penny Santon;['311'];2;4;
Ross;Petit%20Ami;Kristen;276;Lisa Thornbill;['804'];1;6;
Chandler;Collègue;Mr Franklin;278;Geoff Pierson;['805'];5;5;
Ross;Famille;Tante Millie;279;Darlene Kardan;['711'];2;6;
Monica;Famille;Tante Millie;279;Darlene Kardan;['711'];2;2;
Phoebe;Ami;Colleen;280;Kellie Waymire;['1002'];3;3;
Ross;Collègue;Marsha;281;Merrill Merkoe;['102'];5;6;
Chandler;Petit%20Ami;Jade;282;Britteny Powell;['205'];1;5;
Phoebe;Collègue;Bob;283;Tom Bailey;['510'];5;3;
Joey;Petit%20Ami;Laura;284;Maria Pitillo;['1007'];1;4;
Phoebe;Petit%20Ami;Rick;285;Jason Brooks;['404'];1;3;
Ross;Famille;Oncle Dan;286;John C. Moskoff;['818'];2;6;
Monica;Famille;Oncle Dan;286;John C. Moskoff;['818'];2;2;
Phoebe;Famille;Leslie Buffay;287;Allisyn et Ashley Arm;['1002'];2;3;
Phoebe;Famille;Chandler Buffay;288;Sierra Marcoux;['1002'];2;3;
Ross;Famille;Tante Lisa;289;Ellen Gerstein;['818'];2;6;
Monica;Famille;Tante Lisa;289;Ellen Gerstein;['818'];2;2;
Phoebe;Famille;Frank Jr Jr Buffay;290;Dante Pastula;['1002'];2;3;
Chandler;Collègue;Bob;291;Chris Parnell;['805'];5;5;
Chandler;Collègue;Shelley;292;Nancy Cassaro;['108'];5;5;
Joey;Famille;Mary-Angela Tribbiani;293;non créditée;['311'];2;4;
Chandler;Petit%20Ami;Dana;294;Bess Meyer;['618'];1;5;
Monica;Collègue;Allessandro;295;Taylor Negron;['409'];5;2;
Rachel;Collègue;Mr Posner;296;Richard Fancy;['409'];5;1;
Phoebe;Ami;Bill;297;Jim Meskimen;['1002'];3;3;
Ross;Collègue;Andrew;298;Jack Ong;['411'];5;6;
Phoebe;Collègue;Mrs Potter;299;Rhoda Gemignani;['404'];5;3;
Chandler;Collègue;Scott Alexander;300;Steve Park;['223'];5;5;
Rachel;Collègue;Nancy;302;Megan Ward;['518'];5;1;
Ross;Collègue;Burt;303;Richard Roat;['618'];5;6;
Rachel;Ami;Joanne;304;Marianne Hagan;['104'];3;1;
Chandler;Collègue;Lowell;305;Stuart Fratkin;['1009'];5;5;
Joey;Petit%20Ami;Sarah;306;Anna Parisse;['108'];1;4;
Rachel;Collègue;Heather;307;Cheryl Kennard;['912'];5;1;
Phoebe;Ami;Mary Ellen;309;Dedee Pfeiffer;['903'];3;3;
Rachel;Ami;Leslie;310;Leesa Btyte;['104'];3;1;
Chandler;Collègue;Assistante un peu dingue de Chandler à Tulsa;311;Irene White;['909'];5;5;
Chandler;Collègue;Eldad;312;Josh Cox;['619'];5;5;
Chandler;Collègue;Mrs McKenna;313;Janet Horbert;['902'];5;5;
Rachel;Collègue;Mr Thompson;314;Steve Hytner;['624'];5;1;
Monica;Collègue;Paula;316;Jenifer Lewis;['103'];5;2;
Ross;Collègue;Lydia;317;Louisa Abernathy;['618'];5;6;
Ross;Collègue;Scott;318;Chip Chinery;['411'];5;6;
Monica;Ami;Fausse Monica;319;Claudia Shears;['121'];3;2;
Ross;Collègue;Mel;320;David Moreland;['618'];5;6;
Chandler;Collègue;Phil;321;Steve Dark;['324'];5;5;
Chandler;Collègue;Stevens;322;Joe O’Connor;['324'];5;5;
Rachel;Ami;Katherine;323;Adria Tennor;['820'];3;1;
Chandler;Collègue;Jeanette;324;Cynthia Newman;['922'];5;5;
Phoebe;Collègue;Réceptionniste du centre de massage;325;Debra Azar;['921'];5;3;
Ross;Collègue;Professeur Sherman;326;Dan Desmond;['922'];5;6;
Ross;Collègue;Dr Biely;327;Cathy Lind Hayes;['1006'];5;6;
Ross;Collègue;Dr Li;328;Ming Lo;['1006'];5;6;
Ross;Petit%20Ami;Joan;329;Carla Touts;['1009'];1;6;
Chandler;Collègue;Gerson;330;Brian Buckner;['122'];5;5;
Phoebe;Collègue;Responsable chez Empire Office Suplies;331;Joyce Guy;['713'];5;3;
Chandler;Collègue;Petrie;332;Darryl Sivad;['122'];5;5;
Joey;Petit%20Ami;Casey;333;non créditée;['407'];1;4;
Monica;Voisin;Voisin gourmand de Monica et conquête potentielle de Rachel;341;Ashley L. Clark;['709', '811'];4;2;
Ross;Collègue;Professeur Ted Friesell;343;Jim Bentley;['411', '619'];5;6;
Monica;Voisin;Voisine du dessus de Monica;386;Amy Hill;['709'];4;2;
Monica;Voisin;Gary;396;Jonathan Floyd;['709'];4;2;
Joey;Collègue;Figurante dans Days of our lives;449;Heather Sims;['911'];5;4;
Joey;Voisin;Chanteur matinal;470;Michael Connor;['419'];4;4;
Ross;Voisin;Jen;511;Samantha Smith;['821'];4;6;
Ross;Voisin;Petite fille, voisine de Ross;523;Devyn La Bella;['517'];4;6;
Ross;Voisin;Vieil homme, voisin de Ross;536;Ralph Manza;['517'];4;6;
Ross;Voisin;Voisin de Ross à la recherche de Joey;598;Marc Goldsmith;['517'];4;6;
Ross;Voisin;Mrs Verhoeven;602;Dale Raoul;['807'];4;6;
Ross;Voisin;Invité à la fête pour Howard;694;Stephon Fuller;['515'];4;6;
Ross;Voisin;Steve;696;Willie Garson;['515'];4;6;
Ross;Voisin;Invitée à la fête pour Howard;700;Linde Gibb;['515'];4;6;
Ross;Voisin;Invité à la fête pour Howard;709;David Dalton;['515'];4;6;
